,round,roster_id,player_id,picked_by,pick_no,metadata,is_keeper,draft_slot,draft_id
30,3,10,BUF,860019033666338816,31,"{'years_exp': '', 'team': 'BUF', 'status': '', 'sport': 'nfl', 'slot': '11', 'position': 'DEF', 'player_id': 'BUF', 'number': '', 'news_updated': '', 'last_name': 'Bills', 'injury_status': '', 'first_name': 'Buffalo', 'amount': '1'}",False,11,863992501013442560
31,3,10,BAL,860019033666338816,32,"{'years_exp': '', 'team': 'BAL', 'status': '', 'sport': 'nfl', 'slot': '11', 'position': 'DEF', 'player_id': 'BAL', 'number': '', 'news_updated': '', 'last_name': 'Ravens', 'injury_status': '', 'first_name': 'Baltimore', 'amount': '1'}",False,11,863992501013442560
32,3,11,8436,860010803301076992,33,"{'years_exp': '0', 'team': '', 'status': 'Active', 'sport': 'nfl', 'slot': '12', 'position': 'WR', 'player_id': '8436', 'number': '82', 'news_updated': '1661783709487', 'last_name': ""Pau'u"", 'injury_status': '', 'first_name': 'Neil', 'amount': '1'}",False,12,863992501013442560
33,3,11,8621,860010803301076992,34,"{'years_exp': '0', 'team': '', 'status': 'Active', 'sport': 'nfl', 'slot': '12', 'position': 'TE', 'player_id': '8621', 'number': '0', 'news_updated': '1652811948193', 'last_name': 'Walston', 'injury_status': '', 'first_name': 'Garrett', 'amount': '1'}",False,12,863992501013442560
34,3,11,8638,860010803301076992,35,"{'years_exp': '0', 'team': '', 'status': 'Active', 'sport': 'nfl', 'slot': '12', 'position': 'TE', 'player_id': '8638', 'number': '87', 'news_updated': '1661208609501', 'last_name': 'Gunter', 'injury_status': '', 'first_name': 'Grayson', 'amount': '1'}",False,12,863992501013442560
35,3,5,4040,860612709442498560,36,"{'years_exp': '5', 'team': 'KC', 'status': 'Active', 'sport': 'nfl', 'slot': '1', 'position': 'WR', 'player_id': '4040', 'number': '9', 'news_updated': '1661799946543', 'last_name': 'Smith-Schuster', 'injury_status': '', 'first_name': 'JuJu', 'amount': '29'}",,1,863992501013442560
36,4,11,8138,860010803301076992,37,"{'years_exp': '0', 'team': 'BUF', 'status': 'Active', 'sport': 'nfl', 'slot': '12', 'position': 'RB', 'player_id': '8138', 'number': '28', 'news_updated': '1661616956272', 'last_name': 'Cook', 'injury_status': '', 'first_name': 'James', 'amount': '28'}",,12,863992501013442560
37,4,9,5052,860214724221087744,38,"{'years_exp': '4', 'team': 'KC', 'status': 'Active', 'sport': 'nfl', 'slot': '3', 'position': 'RB', 'player_id': '5052', 'number': '2', 'news_updated': '1661876418118', 'last_name': 'Jones', 'injury_status': '', 'first_name': 'Ronald', 'amount': '1'}",,3,863992501013442560
38,4,1,8539,499807936168587264,39,"{'years_exp': '0', 'team': 'HOU', 'status': 'Active', 'sport': 'nfl', 'slot': '9', 'position': 'TE', 'player_id': '8539', 'number': '87', 'news_updated': '1654805640796', 'last_name': 'Green', 'injury_status': '', 'first_name': 'Seth', 'amount': '1'}",False,9,863992501013442560
39,4,1,8624,499807936168587264,40,"{'years_exp': '0', 'team': '', 'status': 'Active', 'sport': 'nfl', 'slot': '9', 'position': 'WR', 'player_id': '8624', 'number': '38', 'news_updated': '1652745344828', 'last_name': 'Hodge', 'injury_status': '', 'first_name': 'Changa', 'amount': '1'}",False,9,863992501013442560
